721220|177803|5355|2|19|35735.20|0.08|0.03|R|F|1992-01-02|1992-02-04|1992-01-09|TAKE BACK RETURN|SHIP|. slyly even accounts ,,
842980|188156|5711|4|5|6220.75|0.01|0.03|A|F|1992-01-02|1992-03-20|1992-01-20|COLLECT COD|REG AIR|lly regular asymptotes. unu,,
904677|56678|1689|1|43|70290.81|0.08|0.01|R|F|1992-01-02|1992-03-22|1992-01-14|COLLECT COD|AIR|fix. quickly ironic instruct,,
990147|154290|4291|1|6|8065.74|0.10|0.01|R|F|1992-01-02|1992-03-01|1992-01-15|NONE|REG AIR|lyly according to the caref,,
1054181|16217|6218|1|45|50994.45|0.03|0.08|R|F|1992-01-02|1992-02-05|1992-01-15|NONE|MAIL|y unusual instructions. furiously reg,,
1111877|134177|1717|3|20|24223.40|0.10|0.07|A|F|1992-01-02|1992-02-28|1992-01-07|TAKE BACK RETURN|FOB|re. ideas wake ,,
1332613|53982|1498|1|14|27103.72|0.08|0.07|A|F|1992-01-02|1992-02-11|1992-01-18|TAKE BACK RETURN|TRUCK|y against the furiously regular ,,
1552449|159307|1823|2|28|38256.40|0.08|0.06|R|F|1992-01-02|1992-03-14|1992-01-05|TAKE BACK RETURN|SHIP|hely final excuses. bold accounts wake. q,,
2167527|17849|7850|3|39|68906.76|0.00|0.06|R|F|1992-01-02|1992-02-18|1992-01-11|TAKE BACK RETURN|AIR| foxes sleep blithely along the idle exc,,
2184032|139420|4447|5|14|20431.88|0.06|0.02|A|F|1992-01-02|1992-02-25|1992-01-15|DELIVER IN PERSON|RAIL| even ideas breach slyly above the d,,
3273383|25090|5091|3|42|42633.78|0.06|0.07|R|F|1992-01-02|1992-03-19|1992-01-18|COLLECT COD|TRUCK|the carefully ironic accounts hin,,
3973414|131703|6730|3|24|41632.80|0.00|0.00|R|F|1992-01-02|1992-03-05|1992-01-20|TAKE BACK RETURN|REG AIR|eodolites. carefully pending packages hag,,
4363238|95489|7999|6|35|51956.80|0.07|0.03|R|F|1992-01-02|1992-03-05|1992-01-28|TAKE BACK RETURN|REG AIR|lyly regular e,,
5002593|90105|2615|2|21|22997.10|0.05|0.08|R|F|1992-01-02|1992-03-30|1992-01-26|TAKE BACK RETURN|REG AIR|ss accounts. ironic, sp,
5018977|82039|2040|1|20|20420.60|0.00|0.00|A|F|1992-01-02|1992-03-19|1992-01-15|NONE|SHIP| packages detect furiously quick,,
5431079|78869|6391|1|12|22174.32|0.03|0.08|R|F|1992-01-02|1992-03-29|1992-02-01|NONE|MAIL|xes are fu,,
5885633|132555|7582|4|27|42863.85|0.00|0.05|R|F|1992-01-02|1992-03-10|1992-01-23|COLLECT COD|TRUCK|e ironic dolphins hag,,
88199|181222|6259|2|31|40399.82|0.04|0.07|A|F|1992-01-03|1992-02-10|1992-01-31|DELIVER IN PERSON|AIR|ideas thrash blithely. slyly special ideas,,
303079|43711|6216|2|8|13237.68|0.10|0.06|R|F|1992-01-03|1992-02-03|1992-01-04|TAKE BACK RETURN|MAIL|es. carefully special packa,,
359170|82015|7032|3|40|39880.40|0.08|0.02|R|F|1992-01-03|1992-02-18|1992-01-05|DELIVER IN PERSON|RAIL| the accounts. slyly ,,
414725|55217|5218|1|23|26960.83|0.00|0.00|R|F|1992-01-03|1992-02-02|1992-01-05|NONE|AIR|ake slyly; fluffily silent instructions w,,
598849|73756|1278|2|36|62271.00|0.04|0.03|A|F|1992-01-03|1992-03-14|1992-01-30|NONE|SHIP|ar courts wake fluf,,
600929|36190|6191|4|44|49552.36|0.09|0.02|A|F|1992-01-03|1992-03-21|1992-01-29|NONE|REG AIR|pecial theodolites wake b,,
633378|25721|726|1|29|47754.88|0.07|0.07|R|F|1992-01-03|1992-02-06|1992-01-22|NONE|REG AIR|ly pending excus,,
646854|168375|3408|4|13|18763.81|0.10|0.01|A|F|1992-01-03|1992-03-25|1992-01-19|DELIVER IN PERSON|REG AIR|e slyly unusual courts. furiously i,,
721220|15053|7555|5|24|23233.20|0.02|0.07|A|F|1992-01-03|1992-03-28|1992-01-13|DELIVER IN PERSON|TRUCK|he unusual, regular attainment,
993283|56603|9109|2|8|12476.80|0.06|0.07|R|F|1992-01-03|1992-03-20|1992-01-25|DELIVER IN PERSON|REG AIR|ggle along the slyl,,
1178438|180511|8066|4|15|23872.65|0.10|0.08|R|F|1992-01-03|1992-03-06|1992-01-06|TAKE BACK RETURN|FOB|efully final packages: slyly ,,
1302822|100874|8405|2|2|3749.74|0.01|0.06|R|F|1992-01-03|1992-03-28|1992-01-10|TAKE BACK RETURN|TRUCK|lyly. requests are. furiously ,,
1567815|124156|4157|1|26|30683.90|0.10|0.04|A|F|1992-01-03|1992-02-25|1992-01-11|NONE|SHIP|y unusual requests. slyly reg,,
1804929|85012|7521|6|50|49850.50|0.03|0.04|R|F|1992-01-03|1992-03-10|1992-01-08|DELIVER IN PERSON|RAIL|sleep carefully r,,
1834631|101036|1037|2|21|21777.63|0.03|0.00|R|F|1992-01-03|1992-02-10|1992-01-26|DELIVER IN PERSON|MAIL|iously special ,,
1955750|44842|7347|2|48|85768.32|0.09|0.08|R|F|1992-01-03|1992-03-26|1992-01-10|NONE|REG AIR|ctions nag blithely furiously pend,,
2074886|116928|9440|1|41|79741.72|0.00|0.02|A|F|1992-01-03|1992-03-13|1992-02-01|DELIVER IN PERSON|RAIL|oxes try to boost furio,,
2161799|174024|1576|2|29|31842.58|0.07|0.07|A|F|1992-01-03|1992-03-21|1992-01-14|TAKE BACK RETURN|RAIL|blithely express ,,
2543170|179510|2028|3|20|31790.20|0.07|0.06|R|F|1992-01-03|1992-02-17|1992-01-18|DELIVER IN PERSON|FOB|ithely express foxes. care,,
2746852|44492|2005|3|26|37348.74|0.10|0.05|R|F|1992-01-03|1992-03-19|1992-01-29|TAKE BACK RETURN|FOB|theodolites cajole carefully the,,
2789249|113533|3534|6|35|54128.55|0.10|0.02|A|F|1992-01-03|1992-02-01|1992-01-28|COLLECT COD|REG AIR|en foxes haggle furiously about,,
2974083|137986|500|1|42|85007.16|0.03|0.02|A|F|1992-01-03|1992-03-16|1992-01-29|DELIVER IN PERSON|REG AIR|es sleep slyly. bold ideas use. carefully,,
3007013|128010|5547|3|48|49824.48|0.10|0.05|R|F|1992-01-03|1992-02-23|1992-01-12|DELIVER IN PERSON|REG AIR| beans cajole care,,
3204613|163964|8997|4|24|48671.04|0.09|0.02|R|F|1992-01-03|1992-02-18|1992-01-13|NONE|SHIP|ackages. dolphins hagg,,
3406183|107070|7071|2|25|26926.75|0.00|0.01|A|F|1992-01-03|1992-03-22|1992-01-25|COLLECT COD|MAIL|kly after t,,
3444614|115580|8092|2|37|59036.46|0.07|0.03|A|F|1992-01-03|1992-02-08|1992-01-13|DELIVER IN PERSON|REG AIR|nts wake bl,,
3450533|125061|7574|2|17|18463.02|0.06|0.05|R|F|1992-01-03|1992-03-01|1992-01-26|DELIVER IN PERSON|SHIP|kages. silent theodolites h,,
3589984|127743|5280|1|1|1770.74|0.02|0.07|A|F|1992-01-03|1992-02-07|1992-01-20|NONE|SHIP| special deposits nag furiously fluf,,
3745504|5314|2815|3|36|43895.16|0.10|0.04|R|F|1992-01-03|1992-03-06|1992-01-08|TAKE BACK RETURN|RAIL|requests. fluffily expr,,
3989923|25662|3169|4|13|20639.58|0.02|0.07|R|F|1992-01-03|1992-03-19|1992-01-09|TAKE BACK RETURN|AIR|es? regular, regular accounts sleep; slyl,
4010469|196617|6618|2|24|41126.64|0.10|0.04|R|F|1992-01-03|1992-02-21|1992-01-08|NONE|AIR|s. blithely,,
4139459|65248|7755|2|16|19411.84|0.07|0.01|R|F|1992-01-03|1992-03-29|1992-01-30|DELIVER IN PERSON|REG AIR|silent decoys. ,,
4400453|158508|6054|3|36|56394.00|0.10|0.07|R|F|1992-01-03|1992-03-18|1992-01-18|COLLECT COD|TRUCK| about the,,
4521603|31571|9081|1|46|69118.22|0.07|0.07|R|F|1992-01-03|1992-02-10|1992-01-31|COLLECT COD|AIR|eas sleep. furiously even packages im,,
4697030|11215|1216|2|32|36038.72|0.06|0.04|A|F|1992-01-03|1992-03-11|1992-01-09|NONE|FOB|ffily regular ideas haggle quick,,
4936485|140972|3487|6|11|22142.67|0.02|0.07|R|F|1992-01-03|1992-03-28|1992-01-21|DELIVER IN PERSON|TRUCK|ans: requests cajole alongside of ,,
5235042|85062|2587|5|48|50258.88|0.00|0.05|R|F|1992-01-03|1992-02-09|1992-01-18|TAKE BACK RETURN|REG AIR|nts. silent ,,
5440359|2598|5099|4|12|18007.08|0.00|0.06|R|F|1992-01-03|1992-02-24|1992-01-14|TAKE BACK RETURN|FOB|y ironic instructions among the quick,,
5525158|41006|6015|1|30|28410.00|0.02|0.02|R|F|1992-01-03|1992-03-26|1992-01-27|TAKE BACK RETURN|AIR|ely ironic deposits sleep quickly un,,
5757698|159499|4530|1|39|60781.11|0.00|0.01|R|F|1992-01-03|1992-03-18|1992-01-07|DELIVER IN PERSON|FOB|packages. packages wake,,
5880514|96018|8528|2|29|29406.29|0.08|0.06|A|F|1992-01-03|1992-02-11|1992-01-06|NONE|TRUCK| deposits unwind b,,
27137|167269|2302|3|24|32070.24|0.06|0.03|R|F|1992-01-04|1992-02-18|1992-01-22|DELIVER IN PERSON|RAIL|s above th,,
156868|125430|7943|4|10|14554.30|0.03|0.08|A|F|1992-01-04|1992-03-22|1992-01-05|NONE|MAIL|e quickly along the express ideas-- slyly ,,
159266|163961|1510|1|4|8099.84|0.06|0.01|R|F|1992-01-04|1992-02-12|1992-01-14|COLLECT COD|AIR|usual accounts. furiou,,
301446|29671|7178|2|40|64026.80|0.09|0.03|A|F|1992-01-04|1992-02-03|1992-01-18|TAKE BACK RETURN|TRUCK| slyly even foxes. fluffily ironic req,,
434081|120835|836|3|15|27837.45|0.02|0.03|A|F|1992-01-04|1992-03-06|1992-01-05|NONE|FOB|e. regular instructions among the doggedly,,
962880|65636|8143|5|22|35235.86|0.08|0.05|R|F|1992-01-04|1992-03-24|1992-01-22|TAKE BACK RETURN|AIR|ts wake quickly after the u,,
964006|140942|5971|3|14|27761.16|0.10|0.03|A|F|1992-01-04|1992-02-18|1992-01-24|TAKE BACK RETURN|SHIP|ly silent deposits,,
1038022|187860|2897|2|29|56487.94|0.00|0.03|R|F|1992-01-04|1992-03-20|1992-01-11|COLLECT COD|AIR|ven courts wake a,,
1149701|172461|4979|3|34|52137.64|0.08|0.00|R|F|1992-01-04|1992-02-19|1992-01-16|TAKE BACK RETURN|AIR|ainst the fluffily ironic sauternes x,,
1353862|85546|8055|3|50|76577.00|0.09|0.02|A|F|1992-01-04|1992-02-02|1992-01-22|COLLECT COD|TRUCK|cajole. fi,,
1391589|60587|8106|5|36|55712.88|0.04|0.08|R|F|1992-01-04|1992-02-21|1992-01-17|DELIVER IN PERSON|FOB|s requests sleep c,,
1613283|80269|2778|3|1|1249.26|0.06|0.01|A|F|1992-01-04|1992-03-21|1992-02-03|DELIVER IN PERSON|SHIP|ages. blithely unusual deposits doubt fu,,
1639335|113808|3809|2|23|41901.40|0.02|0.06|R|F|1992-01-04|1992-02-07|1992-01-24|TAKE BACK RETURN|REG AIR|sly final instructions. carefully,,
1702119|194838|9877|1|13|25126.79|0.07|0.08|A|F|1992-01-04|1992-03-31|1992-01-28|NONE|REG AIR|ctions. quickly even ,,
1752322|180273|7828|2|20|27065.40|0.01|0.07|R|F|1992-01-04|1992-03-19|1992-01-06|TAKE BACK RETURN|AIR|equests wake blithely.,,
1766178|170447|448|5|20|30348.80|0.05|0.05|R|F|1992-01-04|1992-03-06|1992-01-27|TAKE BACK RETURN|AIR|iously regular acc,,
1844384|198541|8542|5|46|75418.84|0.01|0.03|R|F|1992-01-04|1992-03-26|1992-01-13|DELIVER IN PERSON|FOB|ending packages,,
2132197|54738|4739|3|30|50781.90|0.00|0.01|A|F|1992-01-04|1992-03-03|1992-01-05|COLLECT COD|FOB|requests. ironic theodolites c,,
2366981|82239|7256|1|27|32973.21|0.09|0.02|R|F|1992-01-04|1992-03-19|1992-02-02|DELIVER IN PERSON|REG AIR|e furiously. furious,,
2471044|23784|3785|3|14|23908.92|0.06|0.08|R|F|1992-01-04|1992-03-28|1992-01-08|DELIVER IN PERSON|AIR|to the ins,,
2471044|113631|1165|6|31|50983.53|0.03|0.01|A|F|1992-01-04|1992-04-02|1992-01-23|COLLECT COD|RAIL|equests after the furio,,
