3271|33058|121055.97|1992-01-01|true
5607|91021|35241.97|1992-01-01|true
20742|136801|117182.58|1992-01-01|true
23010|91141|91129.24|1992-01-01|true
27015|10954|38701.36|1992-01-01|true
27137|54109|271876.20|1992-01-01|true
37543|124229|172141.57|1992-01-01|true
45697|109417|327952.80|1992-01-01|true
59718|24749|81257.61|1992-01-01|true
88199|36158|259184.69|1992-01-01|true
115585|143335|190374.40|1992-01-01|true
126753|136505|199326.27|1992-01-01|true
139655|25249|113272.49|1992-01-01|true
159266|99056|120670.21|1992-01-01|true
161954|127711|179671.72|1992-01-01|true
175975|7511|277536.21|1992-01-01|true
176768|112850|363509.99|1992-01-01|true
179335|82357|73928.46|1992-01-01|true
183488|116027|217481.23|1992-01-01|true
189441|26461|207972.36|1992-01-01|true
190656|23695|150384.61|1992-01-01|true
201414|11642|168718.81|1992-01-01|true
228804|96325|132920.07|1992-01-01|true
234946|34885|170795.27|1992-01-01|true
249668|115781|36870.68|1992-01-01|true
287971|142165|33001.96|1992-01-01|true
300416|107147|102007.54|1992-01-01|true
302497|133474|280071.20|1992-01-01|true
303079|42031|48956.27|1992-01-01|true
334181|28667|108114.75|1992-01-01|true
339300|44791|303769.56|1992-01-01|true
343335|32153|222285.28|1992-01-01|true
346916|63947|311364.36|1992-01-01|true
359170|107341|93815.56|1992-01-01|true
360261|93742|11454.62|1992-01-01|true
368004|115313|111588.39|1992-01-01|true
383079|79501|164696.88|1992-01-01|true
391429|129724|250001.60|1992-01-01|true
414725|34972|26960.83|1992-01-01|true
433446|126361|102858.61|1992-01-01|true
434722|9376|134221.60|1992-01-01|true
436836|63235|171809.32|1992-01-01|true
441253|83678|173407.82|1992-01-01|true
446144|25181|260325.63|1992-01-01|true
458982|102265|224072.68|1992-01-01|true
463072|54256|351887.91|1992-01-01|true
466659|77882|96506.17|1992-01-01|true
470693|122989|267264.25|1992-01-01|true
494854|27956|230373.15|1992-01-01|true
497314|88357|84822.72|1992-01-01|true
515077|118834|272882.67|1992-01-01|true
560930|25048|242635.20|1992-01-01|true
571586|37652|213398.20|1992-01-01|true
575495|5365|200660.27|1992-01-01|true
613377|143623|45500.64|1992-01-01|true
621763|42481|45034.27|1992-01-01|true
623553|119389|51937.92|1992-01-01|true
628352|24943|295722.42|1992-01-01|true
630278|116089|11799.84|1992-01-01|true
636423|94549|254737.12|1992-01-01|true
638595|27112|186137.55|1992-01-01|true
639553|109993|159056.45|1992-01-01|true
642151|2128|206352.04|1992-01-01|true
646854|134503|229192.11|1992-01-01|true
656230|134236|129913.92|1992-01-01|true
682656|83854|184322.01|1992-01-01|true
685120|110767|140299.17|1992-01-01|true
690274|114347|144232.68|1992-01-01|true
699493|36206|228722.06|1992-01-01|true
703012|132998|162032.57|1992-01-01|true
706371|73999|12845.76|1992-01-01|true
717701|127393|155686.17|1992-01-01|true
721220|9263|214359.98|1992-01-01|true
721893|41219|290580.46|1992-01-01|true
723777|112528|223837.36|1992-01-01|true
727232|25193|102378.77|1992-01-01|true
743810|96827|156503.70|1992-01-01|true
779654|32492|90179.30|1992-01-01|true
780903|6539|64377.91|1992-01-01|true
787490|75227|170349.35|1992-01-01|true
795073|83155|227940.48|1992-01-01|true
803488|4153|149963.43|1992-01-01|true
819428|142003|105145.33|1992-01-01|true
821696|41077|117448.17|1992-01-01|true
828739|93590|171207.47|1992-01-01|true
834854|62452|167521.32|1992-01-01|true
842980|72862|57750.93|1992-01-01|true
855717|88390|85796.89|1992-01-01|true
857472|97922|334686.87|1992-01-01|true
862278|26126|204990.76|1992-01-01|true
871712|56122|68138.83|1992-01-01|true
874625|102112|34229.87|1992-01-01|true
902276|21508|80727.77|1992-01-01|true
904677|3043|127654.95|1992-01-01|true
